Energy_au,Total_Free,d3/2_Free,d5/2_Free,s1/2_Free,Total_Confined,d3/2_Confined,d5/2_Confined,s1/2_Confined,Total_Plasma_mu_0.1,d3/2_Plasma_mu_0.1,d5/2_Plasma_mu_0.1,s1/2_Plasma_mu_0.1,Total_Plasma_mu_0.2,d3/2_Plasma_mu_0.2,d5/2_Plasma_mu_0.2,s1/2_Plasma_mu_0.2,Total_Plasma_mu_0.3,d3/2_Plasma_mu_0.3,d5/2_Plasma_mu_0.3,s1/2_Plasma_mu_0.3,Total_Plasma_mu_0.5,s1/2_Plasma_mu_0.5,d3/2_Plasma_mu_0.5,d5/2_Plasma_mu_0.5,Total_Hybrid_mu_0.1,d3/2_Hybrid_mu_0.1,d5/2_Hybrid_mu_0.1,s1/2_Hybrid_mu_0.1,Total_Hybrid_mu_0.2,d3/2_Hybrid_mu_0.2,d5/2_Hybrid_mu_0.2,s1/2_Hybrid_mu_0.2,Total_Hybrid_mu_0.3,d3/2_Hybrid_mu_0.3,d5/2_Hybrid_mu_0.3,s1/2_Hybrid_mu_0.3,Total_Hybrid_mu_0.4,d3/2_Hybrid_mu_0.4,d5/2_Hybrid_mu_0.4,s1/2_Hybrid_mu_0.4,Total_Hybrid_mu_0.5,d3/2_Hybrid_mu_0.5,d5/2_Hybrid_mu_0.5,s1/2_Hybrid_mu_0.5
0.3104347826086956,1.1084778293799968,0.09455028391693093,0.8559047633441925,0.15802278211887355,1.1003031265958132,0.0940420589937648,0.8512570236599135,0.15500404394213504,3.211964896267549,0.30076242930237607,2.7098217082921887,0.20138075867298402,4.30320907822786,0.40814931634150287,3.6737115925717716,0.22134816931458512,3.695248505982022,0.3533718386245667,3.1804514914636584,0.1614251758937965,0.0,0.0,0.0,0.0,3.0407953245358152,0.2848474802263468,2.5664059749898973,0.18954186931957073,3.7239532886677225,0.354081182365398,3.18704682739736,0.18282527890496542,1.770332459637241,0.17085153267338404,1.5376813252887997,0.061799601675057034,0.1627427620766234,0.01627211604861984,0.14645682858419506,1.3817443808487512e-05,0.01474142706319282,0.00020223889179086548,0.0018209944180800522,0.012718193753321904
0.3250836120401338,0.9972966044322396,0.08392848806510154,0.7600062786580067,0.15336183770913142,0.99055587745612,0.08353006163814472,0.7563611223418416,0.1506646934761336,2.9510985459230534,0.27545401795077995,2.482195768074365,0.19344875989790816,4.010308213384052,0.37998635557925503,3.420398051531928,0.20992380627286822,3.414123233765782,0.3262373563119388,2.936286163402454,0.15159971405138925,0.0,0.0,0.0,0.0,2.8046804552137283,0.26190085542945996,2.3599682205736245,0.1828113792106438,3.476016007644499,0.330039397556375,2.970803289455098,0.175173320633026,1.683361877138605,0.16211541157918868,1.4590809259882762,0.06216553957113987,0.1672707821232017,0.01671213993402621,0.150417199665244,0.00014144252393151003,0.012412636332349193,0.00038761860826443323,0.0034896205690211415,0.008535397155063617
0.3397324414715719,0.8975165379875392,0.07442480621234586,0.6741803845542531,0.14891134722094024,0.8916231161289792,0.07408412584086588,0.6710643796267097,0.14647461066140363,2.708233173743899,0.25190231119311535,2.270332723228634,0.1859981393221496,3.733286698094587,0.3533224809854437,3.1805566433714203,0.19940757373772341,3.155679258786148,0.301277111595164,2.7116870022711552,0.14271514491982937,0.0,0.0,0.0,0.0,2.5845205304226235,0.24050549428501639,2.1675544696383486,0.1764605664992581,3.2436813849164725,0.307503894637572,2.768099652522963,0.16807783775593765,1.5980556528587473,0.15357049142138787,1.3821978314676047,0.062287329969755,0.17156398964029856,0.017089715348574612,0.15381565723480092,0.0006586170569230412,0.011734613853415433,0.0006272894316513763,0.005646813375801757,0.005460511045962298
0.35438127090301,0.8079759023688541,0.06592422820774982,0.5973932410118837,0.14465843314922067,0.8025764344232458,0.0656118965130481,0.594538194529399,0.14242634338079851,2.4827219262133675,0.2300461176842172,2.0736762286555193,0.1789995798736313,3.4719929204208144,0.32814990838992136,2.9541317000876126,0.18971131194328059,2.917943821562271,0.27830658580329753,2.5049897650896598,0.13464747066931365,0.0,0.0,0.0,0.0,2.379332291441047,0.22058219599964085,1.988300814413479,0.17044928102792734,3.0263845034622214,0.28642541631623036,2.5784914216741663,0.16146766547182467,1.5151930875453492,0.1452913925148397,1.307710155104493,0.06219153992601682,0.1753103011903075,0.017387548972383794,0.1564968525223273,0.0014258996955964108,0.012357974522755397,0.0009074817987544768,0.008168669932715023,0.0032818227912858947
0.36903010033444816,0.7276290695935499,0.05832329809676046,0.5287145604924983,0.14059121100429123,0.7225336013728482,0.058025559330173046,0.5259942467111307,0.13851379533154445,2.27385538060512,0.20981676713896621,1.8916505612118009,0.17238805225435327,3.226056285301662,0.30444138658337927,2.740868667979533,0.1807462307387491,2.6992077940010697,0.2571647678657816,2.314746848120414,0.12729617801487436,0.0,0.0,0.0,0.0,2.188007018925609,0.20201264387735574,1.8212481843227533,0.16474619072549976,2.823248056391749,0.26672106319419797,2.4012459024116044,0.15528109078594673,1.4351910538931314,0.13731847281146706,1.235971115024807,0.061901466056857396,0.17830334948149829,0.01759568826585995,0.15837081730224575,0.002336843913392587,0.013918674609617992,0.001211570469721021,0.010905570541896373,0.0018015335980005982
0.3836789297658863,0.655536393057429,0.051529102105286315,0.46730859364230914,0.1366986973098333,0.650662535327786,0.05124225358489978,0.4646882512510846,0.13473203049180152,2.0807876792106597,0.19112878359507246,1.723497703243164,0.16616119237242316,2.994934644517317,0.2821503173008709,2.5403465808301267,0.1724377463863199,2.4976174968729947,0.23767425854884622,2.1393715546569076,0.12057168366724089,0.0,0.0,0.0,0.0,2.0096473333213187,0.18471965200748972,1.6656106386984768,0.15931704261535207,2.6331955305515087,0.24828699919762323,2.235433869003513,0.14947466235037257,1.3582936421355765,0.12967277683013195,1.1671821571846137,0.06143870812083074,0.18042102472476193,0.017709697684010216,0.15939793571264332,0.0033133913281083874,0.016107368179363556,0.0015255527027107705,0.013731488436063092,0.0008503270405896934
0.3983277591973244,0.5908544405990432,0.04545829253584627,0.41242542051874703,0.13297072754444988,0.5861846770899727,0.04518442366849414,0.40992318031358743,0.1310770731078911,1.9026774313982844,0.17390938511324805,1.5684878288900954,0.160280217394941,2.778217163854829,0.2612408088839419,2.352255672298181,0.16472068267270587,2.3118090104667908,0.21970724440004347,1.9776973631684576,0.11440440289828972,0.0,0.0,0.0,0.0,1.8435972220313621,0.1686321085791398,1.5208237168432133,0.15414139660900886,2.455132541315349,0.23101990548592033,2.080106600699219,0.14400603513020915,1.2846355798672746,0.12236636717505266,1.1014464077335013,0.06082280495872065,0.18160017392732808,0.017729010174853253,0.1595729189997853,0.004298244752689527,0.018693883463614273,0.0018395401710223677,0.01655747666953451,0.000296866623057399
0.4129765886287625,0.5328267571600853,0.04003616523417551,0.363392709280536,0.12939788264537372,0.5283773090288859,0.03978006397773532,0.3610515362447071,0.1275457088064435,1.7386658989982413,0.1580687858159092,1.4258757363838823,0.1547213767984501,2.5752476551782673,0.24165405923556715,2.1760559914345667,0.1575376045081333,2.140384316389225,0.20312934876549732,1.8285254168125125,0.1087295508112153,0.0,0.0,0.0,0.0,1.689238136879401,0.15369219493125355,1.3863504964946163,0.14919544545353117,2.2881082604610974,0.21482685305796614,1.9344433058528314,0.13883810155029952,1.2141424998806478,0.1153899540410427,1.0386787999850522,0.060073745854552996,0.18183061872683248,0.017656716247017076,0.15892369863809508,0.005250203841720322,0.02149635409166443,0.002145208848592972,0.019308607680000436,4.253756307102192e-05
0.42762541806020066,0.4807752563115064,0.035195800403111994,0.31960803290949724,0.12597142299889724,0.4765746357858036,0.03496283887991602,0.31747650384279374,0.1241352930630938,1.5878295735337473,0.1435153026119042,1.294859600090889,0.1494546708309541,2.3854799630259675,0.22334098780857234,2.011299572686021,0.15083940253137418,1.9821716409350352,0.18782792566910234,1.6908434801339807,0.10350023513195229,0.0,0.0,0.0,0.0,1.546044713874268,0.13984923065484178,1.261733850816572,0.1444616324028539,2.1312255964971833,0.1996240763268558,1.79766198294304,0.13393953722728724,1.1467543795847797,0.10873636561169991,0.9788099986818456,0.05920801529123412,0.18112338714547055,0.017496828647583368,0.15748655168942757,0.006140006808459624,0.02434150231823775,0.0024330519278990426,0.021899360460744564,9.089929594147275e-06
0.4422742474916388,0.43409228653931015,0.030877271188851738,0.280531785971702,0.12268322937875646,0.43016762766412814,0.030672077745308307,0.2786519766762891,0.12084357324253076,1.4493116400483843,0.13016991869488523,1.1746772299532287,0.1444644914002704,2.2082331540342333,0.20623460293504983,1.8574165025061986,0.14458204859298496,1.8359794966085803,0.1736913903842192,1.5636381605910508,0.09864994563331034,0.0,0.0,0.0,0.0,1.4134961631614495,0.12705393336479492,1.1465186121520907,0.13992361764456407,1.983558851121219,0.18531514628575896,1.6689597626970754,0.12928394213838457,1.0822474906069415,0.10238034874545189,0.9216255889407108,0.05824155292077867,0.17949283884578016,0.017252812760648776,0.155291991865878,0.0069480342192533556,0.02705793555028338,0.002692569886726907,0.024235223450896133,0.00013014221266033715
