Pe_Energy_au,Sigma_Total_au,Sigma_d5_2_au,Sigma_d3_2_au,Sigma_s1_2_au
0.4,0.35744030117527725,0.2020582673026443,0.022269507299359403,0.13311252657327352
0.40452261306532666,0.34772317012154347,0.19431656937536843,0.021413376173192666,0.13199322457298235
0.4090452261306533,0.3383158140131344,0.18684067007778815,0.020586712901913082,0.1308884310334332
0.41356783919597995,0.3292082168618834,0.17962178662707567,0.01978854189901671,0.12979788833579098
0.41809045226130653,0.3203906962938705,0.1726514309941194,0.019017920390273117,0.128721344909478
0.4226130653266332,0.31185389181244794,0.16592139922771487,0.018273937221346074,0.12765855536338697
0.4271356783919598,0.3035887518999745,0.15942376121087412,0.017555711715746474,0.12660927897335383
0.43165829145728646,0.29558652672386776,0.15315085367324344,0.01686239289310899,0.12557328015751532
0.4361809045226131,0.28783875925230684,0.14709527107089798,0.016193158450261105,0.12455032973114774
0.44070351758793974,0.28033727158029875,0.1412498547281185,0.015547213551616958,0.12354020330056328
0.4452261306532663,0.2730741561306321,0.13560768587101635,0.0149237900519002,0.1225426802077155
0.44974874371859297,0.2660417703051732,0.13016207922593012,0.014322145779761337,0.12155754529948168
0.4542713567839196,0.2592327257423382,0.12490657328222257,0.013741563452647064,0.12058458900746855
0.45879396984924625,0.2526398771111579,0.11983492196190432,0.013181349749376561,0.11962360539987704
0.4633165829145729,0.24625631629199346,0.11494108910358533,0.012640834693586555,0.11867439249482155
0.46783919597989954,0.24007536560011555,0.11021924127503784,0.012119370851841626,0.11773675347323612
0.4723618090452262,0.23409056782135265,0.10566373963540523,0.01161633242774204,0.11681049575820537
0.47688442211055276,0.22829567875867407,0.10126913386392032,0.011131114585141058,0.11589543030961272
0.4814070351758794,0.22268466136905474,0.09703015620947011,0.01066313278418387,0.11499137237540075
0.48592964824120605,0.2172516777694923,0.0929417145490921,0.010211822008577072,0.11409814121182313
0.4904522613065327,0.21199108210541034,0.08899888662818065,0.00977663612394978,0.11321555935327993
0.49497487437185933,0.20689741546805832,0.0851969148133857,0.009357047292386539,0.11234345336228604
0.4994974874371859,0.20196539888639725,0.0815311996532504,0.008952545255858079,0.11148165397728879
0.5040201005025126,0.19718992556776366,0.07799729417169554,0.00856263670151111,0.110629994694557
0.5085427135678392,0.19256605643251076,0.07459089975990729,0.008186844803015758,0.1097883118695877
0.5130653266331658,0.18808901594975758,0.07130786107376522,0.007824708651786024,0.10895644622420636
0.5175879396984925,0.18375418468849414,0.06814415990779638,0.0074757825764341455,0.10813424220426361
0.5221105527638191,0.1795570926462779,0.06509591074827496,0.007139635648038844,0.10732154624996407
0.5266331658291458,0.17549341617868172,0.06215935735584922,0.006815851298196266,0.10651820752463623
0.5311557788944724,0.17155897408381054,0.05933086793581696,0.0065040267814801345,0.10572407936651343
0.535678391959799,0.16774972083937717,0.05660692994379734,0.0062037725986954645,0.10493901829688436
0.5402010050251256,0.16406174123534464,0.05398414645071925,0.005914712092226621,0.10416288269239876
0.5447236180904522,0.1604912475577173,0.051459232850754905,0.005636481078628719,0.10339553362833367
0.5492462311557789,0.15703457564463857,0.049029012587590515,0.0053687273734841405,0.10263683568356391
0.5537688442211055,0.15368817945650506,0.04669041308182027,0.005111110339028958,0.10188665603565582
0.5582914572864321,0.15044862707471474,0.04444046256186774,0.0048633005312104394,0.10114486398163655
0.5628140703517588,0.14731259769552676,0.04227628673307994,0.004624979328835702,0.10041133163361113
0.5673366834170854,0.14427687744264417,0.0401951051230477,0.004395838527633482,0.09968593379196297
0.5718592964824121,0.14133835517034293,0.03819422800593236,0.004175579998153753,0.09896854716625683
0.5763819095477387,0.13849401982434148,0.03627105361385856,0.003963915375099823,0.09825905083538311
0.5809045226130654,0.13574095750620768,0.03442306486028345,0.0037605656932696756,0.09755732695265454
0.585427135678392,0.13307634702812893,0.03264782617447974,0.0035652610362718416,0.09686325981737734
0.5899497487437186,0.1304974563391584,0.03094298112245017,0.003377740271539858,0.09617673494516839
0.5944723618090453,0.12800164091791227,0.029306250027506007,0.003197750785066883,0.09549764010533937
0.5989949748743719,0.12558634141927902,0.027735426962666038,0.003025048147646374,0.09482586630896661
0.6035175879396986,0.12324907937978963,0.026228376948253276,0.002859395804134201,0.09416130662740216
0.6080402010050252,0.12098745375611082,0.024783033939474924,0.002700564849254087,0.09350385496738181
0.6125628140703517,0.11879913966353778,0.023397398813638264,0.0025483338031301148,0.09285340704676939
0.6170854271356784,0.1166818867196006,0.022069536808493287,0.002402488327057653,0.09220986158404967
0.621608040201005,0.11463351547981736,0.02079757508095382,0.002262820952893748,0.0915731194459698
0.6261306532663317,0.11265191418318517,0.01957970086017926,0.0021291308775215597,0.09094308244548435
0.6306532663316583,0.11073503731307296,0.01841415966202956,0.002001223763881888,0.09031965388716152
0.6351758793969849,0.10888090417121893,0.01729925318107897,0.0018789115070193979,0.08970273948312056
0.6396984924623116,0.10708759614166424,0.01623333726237916,0.0017620120091500478,0.08909224687013503
0.6442211055276382,0.10535325409777688,0.01521482021500077,0.0016503489921139368,0.08848808489066216
0.6487437185929649,0.10367607696675912,0.014242161149049805,0.0015437518123957372,0.08789016400531356
0.6532663316582914,0.10205432013149668,0.013313868181138153,0.0014420552620288587,0.08729839668832967
0.657788944723618,0.1004862929575683,0.012428496780789458,0.0013450993850736628,0.08671269679170517
0.6623115577889447,0.09897035683908684,0.01158464832374175,0.0012527293166225046,0.08613297919872259
0.6668341708542713,0.09750492431489423,0.010780968579863772,0.0011647951147914187,0.08555916062023904
