Pe_Energy_au,Sigma_Total_au,Sigma_d5_2_au,Sigma_d3_2_au,Sigma_s1_2_au
0.4,0.3597228827376754,0.20441733699770143,0.022713037444189052,0.1325925082957849
0.4033444816053512,0.3524711121742815,0.19863249004167272,0.022070276671296973,0.13176834546131183
0.40668896321070236,0.3453904253388629,0.19299450438318352,0.02144383382035373,0.13095208713532566
0.4100334448160535,0.3384767251644816,0.18749978616696303,0.020833309574107006,0.13014362942341148
0.4133779264214047,0.3317260151765502,0.1821448306386806,0.02023831451540896,0.12934287002246064
0.41672240802675586,0.32513439774900255,0.17692622030987182,0.019658468923319093,0.12854970851581163
0.42006688963210703,0.31869807133087064,0.17184062244305678,0.01909340249367298,0.12776404639414085
0.4234113712374582,0.31241332720609394,0.16688478653007624,0.01854275405889736,0.12698578661712034
0.42675585284280937,0.3062765474015548,0.16205554261989397,0.01800617140221044,0.12621483337945041
0.43010033444816054,0.30028420358278507,0.15734979998626683,0.017483311109585207,0.125451092486933
0.4334448160535117,0.2944328551254106,0.15276454505145773,0.01697383833905086,0.12469447173490197
0.4367892976588629,0.28871914587553466,0.14829683873522242,0.016477426526135826,0.12394488061417641
0.44013377926421404,0.2831398012674265,0.1439438144018882,0.015993757155765353,0.12320222970977295
0.4434782608695652,0.2776916270038038,0.13970267671004716,0.015522519634449687,0.12246643065930693
0.4468227424749164,0.2723715081883594,0.13557070034174115,0.01506341114908235,0.12173739669753589
0.45016722408026755,0.26717640724643554,0.1315452278835996,0.014616136431511068,0.12101504293132488
0.4535117056856187,0.262103360917946,0.12762366749591922,0.01418040749954658,0.12029928592248024
0.4568561872909699,0.2571494779634064,0.12380349129999177,0.013755943477776865,0.11959004318563778
0.46020066889632105,0.2523119380844817,0.12008223432616577,0.013342470480685086,0.11888723327763087
0.4635451505016722,0.24758799084917835,0.11645749315039633,0.012939721461155148,0.11819077623762689
0.4668896321070234,0.2429749536670678,0.11292692399354595,0.012547435999282885,0.11750059367423896
0.4702341137123746,0.2384702094229818,0.10948824091225462,0.012165360101361627,0.11681660840936556
0.4735785953177258,0.2340712047962815,0.10613921449999719,0.011793246055555245,0.11613874424072906
0.47692307692307695,0.22977544915247788,0.10287767073331396,0.011430852303701552,0.11546692611546236
0.4802675585284281,0.2255805131183367,0.099701489509777,0.011077943278864114,0.11480108032969558
0.4836120401337793,0.22148402665258682,0.09660860304725682,0.010734289227472982,0.114141134377857
0.48695652173913045,0.21748367733729373,0.09359699458161734,0.01039966606462415,0.11348701669105225
0.4903010033444816,0.2135772092797998,0.09066469732058924,0.01007385525784325,0.11283865670136731
0.4936454849498328,0.2097624220424268,0.08780979321803903,0.009756643690893225,0.11219598513349452
0.49698996655518396,0.2060371689769021,0.08503041146591596,0.009447823496212883,0.11155893401477324
0.5003344481605352,0.2023993553111602,0.08232472711771696,0.009147191901968551,0.1109274362914747
0.5036789297658864,0.19884693682422522,0.07969096013750676,0.008854551126389639,0.11030142556032879
0.5070234113712375,0.1953779191834235,0.07712737457939911,0.008569708286599902,0.10968083631742448
0.5103678929765887,0.191990357098565,0.07463227743344002,0.008292475270382222,0.10906560439474272
0.5137123745819399,0.18868235271052064,0.0722040171792614,0.00802266857547349,0.10845566695578572
0.517056856187291,0.1854520537100566,0.06984098253792231,0.007760109170880258,0.10785096200125402
0.5204013377926422,0.1822976520909567,0.06754160167368856,0.00750462240818762,0.10725142800908052
0.5237458193979934,0.17921738363208914,0.06530434152426037,0.007256037947140042,0.10665700416068871
0.5270903010033445,0.17620952729898806,0.06312770682301717,0.007014189647001909,0.10606763082896897
0.5304347826086957,0.17327240394585902,0.06101023884257799,0.006778915426953109,0.10548324967632791
0.5337792642140469,0.17040437465729874,0.0589505142701002,0.006550057141122246,0.10490380324607629
0.537123745819398,0.16760383951281566,0.05694714444015854,0.006327460493350949,0.10432923457930618
0.5404682274247492,0.16486923697695313,0.05499877470174785,0.0061109749668608725,0.10375948730834442
0.5438127090301004,0.16219904335464702,0.05310408359572836,0.005900453732858708,0.10319450602605995
0.5471571906354515,0.15959177179280792,0.051261781841143564,0.005695753537904839,0.10263423641375952
0.5505016722408027,0.15704597098831596,0.04947061139585762,0.005496734599539736,0.10207862499291862
0.5538461538461539,0.15456022413056258,0.047729344734866064,0.005303260526096229,0.1015276188696003
0.557190635451505,0.15213314824523938,0.046036784204316956,0.005115198244924106,0.10098116579599835
0.5605351170568562,0.14976339357250973,0.044391761263379695,0.0049324179181533,0.10043921439097674
0.5638795986622074,0.14744964264526028,0.04279313564263229,0.004754792849181367,0.09990171415344663
0.5672240802675586,0.14519060922535937,0.04123979459527045,0.004582199399474495,0.09936861523061444
0.5705685618729097,0.14298503749482933,0.03973065229509815,0.004414516921677573,0.09883986827805363
0.5739130434782609,0.14083170156486197,0.03826464923933345,0.004251627693259272,0.09831542463226925
0.577257525083612,0.13872940492942704,0.03684075152870387,0.004093416836522652,0.09779523656420053
0.5806020066889632,0.13667697955927038,0.03545795009449063,0.003939772232721182,0.09727925723205857
0.5839464882943144,0.1346732848264589,0.03411526004787735,0.003790584449764151,0.09676744032881741
0.5872909698996656,0.1327172067246898,0.03281172019312726,0.0036457466881252513,0.09625973984343729
0.5906354515050167,0.13080765753027168,0.03154639255275589,0.003505154728083988,0.09575611024943179
0.5939799331103679,0.12894357552654834,0.030318361754244936,0.003368706861582771,0.09525650691072066
0.5973244147157191,0.1271239243366514,0.02912673431745752,0.0032363038130508353,0.09476088620614305
0.6006688963210702,0.12534769188611491,0.027970638021347444,0.0031078486690386048,0.09426920519572887
