Kinetic_Energy_au,Photon_Energy_eV,Sigma_Total_Mb,Sigma_d5_2_Mb,Sigma_d3_2_Mb,Sigma_s1_2_Mb
0.01,15.995945420662585,122.75149852148697,104.08888305918573,11.56819227513933,7.094423187161895
0.017487437185929648,16.19968896407967,118.25312183371945,100.18956773212075,11.133177184000113,6.9303769175985765
0.024974874371859294,16.403432507496756,113.71777497558354,96.2516242044346,10.69398214160362,6.772168629545305
0.03246231155778895,16.607176050913843,109.18066960573219,92.30698624000134,10.254162957024146,6.619520408706712
0.039949748743718594,16.810919594330926,104.6721229900795,88.38317111284852,9.816781529115193,6.472170348115798
0.04743718592964824,17.014663137748013,100.2178869911703,84.50357630915218,9.384439260580372,6.329871421437742
0.05492462311557789,17.2184066811651,95.8395124841806,80.6878079804275,8.959313994343804,6.192390509409309
0.06241206030150754,17.422150224582182,91.55473185664538,76.95202563092977,8.543198733603509,6.059507492112103
0.06989949748743718,17.62589376799927,87.37784509431472,73.30928994040148,8.137540678121297,5.93101447579193
0.07738693467336683,17.829637311416356,83.32009827960344,69.76990378351637,7.7434794655601,5.806715030526977
0.08487437185929647,18.03338085483344,79.39004758259976,66.3417401539209,7.361883916750447,5.686423511928415
0.09236180904522612,18.237124398250526,75.59390148109877,63.030550535507956,6.993386564800014,5.5699643807908
0.09984924623115578,18.440867941667612,71.93583908723912,59.84025170887604,6.638415747566918,5.45717163079616
0.10733668341708542,18.644611485084695,70.24212312140415,56.77514358473545,6.297452813718374,7.169526722950319
0.11482412060301507,18.848355028501782,66.82893504715008,53.832395455775696,5.9701552793804815,7.026384311993908
0.12231155778894472,19.05209857191887,63.55819794045282,51.013769678868826,5.656722346792876,6.88770591479112
0.12979899497487438,19.255842115335952,60.42856050598067,48.31822710002256,5.3570318682341025,6.753301537724005
0.13728643216080402,19.45958565875304,57.43783431889974,45.74396581609976,5.070877221423523,6.62299128137645
0.14477386934673367,19.663329202170125,54.583156349833345,43.28856795675488,4.797983667587988,6.4966047254904655
0.15226130653266332,19.86707274558721,51.861130070776696,40.94912717334408,4.538022546991365,6.373980350441242
0.15974874371859296,20.070816289004295,49.267947184283024,38.722358678478614,4.290623523829709,6.254964981974703
0.1672361809045226,20.274559832421378,46.7994920328107,36.60469365168957,4.055385084567569,6.139413296553554
0.17472361809045225,20.478303375838465,44.45143023453057,34.59235943984233,3.8318834466622462,6.027187348025989
0.1822110552763819,20.68204691925555,42.219283589562835,32.68144738646729,3.6196800880730797,5.918156115022463
0.18969849246231157,20.885790462672638,40.09849290999912,30.867969743410338,3.418328059014899,5.812195107573891
0.19718592964824122,21.08953400608972,38.08446997332579,29.147906817096256,3.227377203368465,5.709185952861062
0.20467336683417087,21.293277549506808,36.17264064043204,27.51724609032065,3.0463784890873113,5.609016061024081
0.2121608040201005,21.497021092923895,34.358479646199946,25.97201385732704,2.874887502638789,5.511578286234118
0.21964824120603016,21.700764636340978,32.637538607290736,24.508300750777362,2.7124672650604937,5.416770591452882
0.2271356783919598,21.904508179758064,31.00546832248855,23.122282070869794,2.55869047080787,5.324495780810888
0.23462311557788945,22.108251723175147,29.45803586827869,21.81023345401436,2.413141207954328,5.234661206310003
0.2421105527638191,22.311995266592234,27.991137671758672,20.568542865362804,2.275416271534892,5.147178534860973
0.24959798994974874,22.515738810009317,26.600808685753734,19.3937191330441,2.145126092036852,5.0619634606727795
0.2570854271356784,22.719482353426404,25.283229205880843,18.282398233923782,2.021895416930201,4.978935555026858
0.26457286432160804,22.92322589684349,24.03472840492638,17.23134675398903,1.9053636770714768,4.898017973865874
0.2720603015075377,23.126969440260574,22.8517865911698,16.23746405268905,1.7951852120688803,4.81913732641187
0.27954773869346733,23.33071298367766,21.73103527409032,15.297782536191285,1.691029285390917,4.742223452508117
0.287035175879397,23.534456527094747,20.6692561604007,14.409466903926909,1.5925799871985207,4.667209269275269
0.2945226130653266,23.73820007051183,19.663378852402015,13.569812255495448,1.499536011053505,4.594030585853063
0.30201005025125627,23.941943613928917,18.710478045410284,12.77624167360622,1.411610374170654,4.52262599763341
0.3094974874371859,24.145687157346003,17.80776944273936,12.0263027579978,1.3285300211121074,4.45293666362945
0.31698492462311556,24.349430700763087,16.952606038205452,11.317664311993688,1.250035446495381,4.3849062797163825
0.3244723618090452,24.553174244180173,16.142473033725658,10.648111998227828,1.175880202945226,4.318480832552605
0.33195979899497485,24.75691778759726,15.374983458574617,10.015544409992739,1.105830456944734,4.253608591637145
0.3394472361809045,24.960661331014343,14.647872866264942,9.417968479379903,1.0396644711081309,4.190239915776907
0.34693467336683415,25.16440487443143,13.958994401771674,8.85349510499241,0.9771721119173489,4.128327184861916
0.3544221105527638,25.368148417848516,13.306313741684908,8.32033467811114,0.9181543466677942,4.067824716905975
0.36190954773869344,25.5718919612656,12.687903813299245,7.816792482104119,0.8624227269166068,4.008688604278519
0.36939698492462314,25.775635504682686,12.101940135844718,7.341264477314307,0.8097989153754824,3.950876743154928
0.3768844221105528,25.979379048099773,11.546695469370787,6.892232699601719,0.7601141702567701,3.894348599512298
0.38437185929648243,26.183122591516856,11.02053551536262,6.468261316589931,0.7132089032593505,3.8390652955133393
0.3918592964824121,26.386866134933943,10.521913803336487,6.067992236459608,0.6689321881268246,3.7849893787500544
0.3993467336683417,26.59060967835103,10.049367597039987,5.690141373978985,0.6271413426960106,3.7320848803649906
0.40683417085427137,26.794353221768112,9.601513293915334,5.333494649560841,0.5877014815445626,3.68031716280993
0.414321608040201,26.9980967651852,9.177042404990509,4.996904391463559,0.5504851137588314,3.6296528997681183
