Radius_au,Free,Confined,Plasma_mu_0.1,Plasma_mu_0.2,Plasma_mu_0.3,Plasma_mu_0.5,Hybrid_mu_0.1,Hybrid_mu_0.2,Hybrid_mu_0.3,Hybrid_mu_0.4,Hybrid_mu_0.5
1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010011665277546256,0.019801473231500537,0.01965972573008351,0.019667818544225838,0.019308383032972182,0.018760590224336855,0.0171596042293701,0.01951533004984122,0.01912397696625701,0.018514666890077965,0.017682377020455782,0.016581829377732265
0.020013330555092513,0.03920922736128309,0.038928560033799034,0.0389446030631842,0.03823295402891525,0.03714837222113442,0.033978522724313995,0.03864266744062576,0.037867818070789025,0.03666142470530904,0.035013529622125006,0.032834462977800336
0.03001499583263877,0.05822894184673188,0.05781215069381041,0.05783602104601551,0.05677934922213911,0.05516893183708036,0.050462157974663864,0.05738764502965863,0.056237115949516865,0.054445797894409786,0.05199887316808564,0.04876313966897852
0.04001666111018503,0.07686635255357092,0.07631620125097205,0.07634779492142305,0.07495325572403146,0.07282789960979831,0.06661594022969944,0.07575594993285359,0.07423751335027229,0.07187335469000063,0.06864385873044361,0.0643731246536832
0.050018326387731286,0.09512715225347389,0.09444637221900219,0.09448560325466732,0.0927603146063835,0.09013085673075079,0.08244524186893779,0.09375322549274726,0.09187460714727841,0.08894961431073325,0.08495388463781653,0.07966962673265561
0.06001999166527754,0.11301697133463191,0.11220826193784438,0.11225506161556287,0.11020610219806226,0.10708331699971307,0.09795536127040001,0.11138505229973575,0.10915392982190852,0.1056800291587459,0.10093427964288545,0.09465778272689734
0.07002165694282379,0.13054137195106208,0.12960740076949515,0.12966171679396438,0.12729612448359584,0.12369072150664634,0.11315151831107059,0.12865694245723705,0.12608094392013763,0.12206997957757021,0.11659029808179368,0.10934265313993038
0.08002332222037005,0.14770584602460174,0.14664924911886318,0.14671104484139397,0.14403581525633952,0.13995843695885532,0.12803885319260852,0.14557433764325045,0.1426610402286258,0.13812477220742672,0.1319271184652941,0.12372922103314092
0.0900249874979163,0.1645158146924909,0.1633391968897932,0.16340845054796518,0.16043053567909366,0.15589175537293243,0.1426224265065903,0.1621426085960054,0.15889953734472045,0.15384963968730483,0.14694984335228045,0.13782239209871566
0.10002665277546256,0.18097662839479794,0.1796825635762776,0.1797592675543043,0.17648557446652463,0.17149589436817717,0.15690721984129383,0.1783670552296058,0.1748016818622337,0.1692497409505238,0.1616634997863361,0.15162699525568465
0.11002831805300882,0.19709356727809227,0.1956845986675778,0.19576875877706687,0.19220614837388822,0.18677599775499076,0.17089813664986406,0.19425290706076032,0.19037264886050717,0.1843301618112931,0.17607304000649393,0.16514778349834816
0.12002998333055508,0.21287184176772148,0.21135048222066935,0.21144211700141063,0.20759740284812356,0.20173713627844947,0.18460000325218018,0.20980532380109768,0.20561754255420994,0.1990959157043095,0.19018334230052455,0.1783894348737091
0.13003164860810135,0.22831659323462,0.22668532552647053,0.226784465566862,0.2226644127691281,0.21638430844696438,0.198017569906499,0.22502939604207592,0.2205413970323688,0.2135519445082213,0.203999211934769,0.1913565535261425
0.1400333138856476,0.24343289471665366,0.24169417183014402,0.2418008591068577,0.23741218324224878,0.23072244140822087,0.21115551191647355,0.23993014599307547,0.23514917704804097,0.2277031194156459,0.2175253821249578,0.20405367077606287
0.15003497916319386,0.2582257516715975,0.2563819970827369,0.2564962843192244,0.2518456504196945,0.2447563918507838,0.2240184307539596,0.2545125282501171,0.24944577883654803,0.24155424182841675,0.23076651502772502,0.21648524621366458
0.16003664444074012,0.27270010274799855,0.2707537107105063,0.27087566075394637,0.2659696823374988,0.258490946918426,0.23661085518594524,0.2687814305816611,0.26343603094902845,0.2551100442652851,0.24372720274069146,0.22865566879646781
0.17003830971828637,0.2868608205653332,0.2848141563934069,0.28494384160970143,0.27978907975969297,0.27193082512912653,0.24893724239841064,0.28274167472303496,0.2771246950930509,0.2683751912741308,0.25641196830360213,0.24056925794372103
0.18003997499583263,0.3007127124979229,0.29856811284724155,0.2987056145336703,0.2933085770243244,0.2850806772935715,0.2610019791125597,0.29639801717403863,0.29051646697497463,0.28135428034358634,0.26882526669572115,0.25223026462326187
0.1900416402733789,0.3142605214589353,0.31202029460583075,0.31216570242098285,0.30653284288777427,0.29794508742976095,0.27280938269048255,0.30975514999612086,0.30361597714054733,0.2940518428107208,0.280971485826353,0.26364287242799356
0.20004330555092514,0.32750892668198506,0.3251753528007336,0.325328764211339,0.319466481364984,0.31052857367144265,0.2843637022283257,0.3228177016066828,0.31642779181137226,0.30647234476253854,0.29285494751641367,0.2748111986401254
0.2100449708284714,0.34046254449861796,0.33803787593681833,0.3381993956811081,0.3321140325639507,0.32283558916882704,0.2956691196357132,0.3355902375688279,0.32895641371562323,0.3186201879297675,0.30447990846966194,0.2857392952819648
0.22004663610601766,0.3531259291104805,0.3506123906624915,0.350782130229724,0.34447997351335446,0.334870522980521,0.3067297507006037,0.34807726137538614,0.3412062829118826,0.33049971057189015,0.31585056123265853,0.29643115015247545
0.2300483013835639,0.36550357335532707,0.3629033625337473,0.36308143965954215,0.356568718982525,0.3466377009559552,0.31754964613906844,0.3602832152263852,0.3531817776053168,0.34211518835270344,0.32697103514283365,0.30689068784910956
0.24004996666111017,0.3775999094662636,0.3749151967714413,0.375101734948571,0.3683846222931927,0.3581413866078056,0.3281327926296856,0.3722124807993863,0.36488721495564197,0.35347083520591666,0.33784539726425944,0.31712177077462
