Energy_au,Total_Free,p1/2_Free,p3/2_Free,Total_Confined,p1/2_Confined,p3/2_Confined,Total_Plasma_mu_0.1,p1/2_Plasma_mu_0.1,p3/2_Plasma_mu_0.1,Total_Plasma_mu_0.2,p1/2_Plasma_mu_0.2,p3/2_Plasma_mu_0.2,Total_Plasma_mu_0.3,p1/2_Plasma_mu_0.3,p3/2_Plasma_mu_0.3,Total_Plasma_mu_0.5,p1/2_Plasma_mu_0.5,p3/2_Plasma_mu_0.5,Total_Hybrid_mu_0.1,p1/2_Hybrid_mu_0.1,p3/2_Hybrid_mu_0.1,Total_Hybrid_mu_0.2,p1/2_Hybrid_mu_0.2,p3/2_Hybrid_mu_0.2,Total_Hybrid_mu_0.3,p1/2_Hybrid_mu_0.3,p3/2_Hybrid_mu_0.3,Total_Hybrid_mu_0.4,p1/2_Hybrid_mu_0.4,p3/2_Hybrid_mu_0.4,Total_Hybrid_mu_0.5,p1/2_Hybrid_mu_0.5,p3/2_Hybrid_mu_0.5
0.049090909090909095,0.17516621010604,0.05838873670201333,0.11677747340402667,0.16132608814094562,0.05377536271364854,0.10755072542729709,0.27802672338124096,0.09267557446041365,0.1853511489208273,0.41994847646405464,0.13998282548801821,0.27996565097603643,0.5834911595776153,0.19449705319253843,0.38899410638507687,0.4701245072727752,0.15670816909092508,0.31341633818185016,0.3263118011051365,0.10877060036837884,0.21754120073675767,0.4639477106718364,0.15464923689061214,0.30929847378122427,0.28389698783708994,0.09463232927902998,0.18926465855805996,0.2108558379514203,0.0702852793171401,0.1405705586342802,0.19097138953038678,0.06365712984346227,0.12731425968692453
0.05000000000000001,0.1743877757743588,0.05812925859145293,0.11625851718290586,0.16055363389895128,0.053517877966317094,0.10703575593263419,0.27658537696750496,0.09219512565583499,0.18439025131166997,0.41731817569849644,0.13910605856616548,0.27821211713233096,0.5790820851823064,0.19302736172743548,0.38605472345487096,0.47405727230283,0.15801909076761,0.31603818153522,0.3228630706847274,0.10762102356157581,0.21524204712315162,0.46499298996023386,0.15499766332007794,0.3099953266401559,0.28796650296542925,0.09598883432180975,0.1919776686436195,0.21336511223417132,0.07112170407805711,0.14224340815611422,0.19237281968112768,0.06412427322704256,0.12824854645408512
0.05090909090909092,0.17361397620789512,0.05787132540263171,0.11574265080526341,0.15979007489751512,0.053263358299171705,0.10652671659834341,0.2751427935587678,0.09171426451958928,0.18342852903917856,0.41471099937479394,0.13823699979159798,0.27647399958319596,0.5746980518286237,0.1915660172762079,0.3831320345524158,0.4777736002898419,0.15925786676328063,0.31851573352656126,0.31948336953013506,0.10649445651004502,0.21298891302009004,0.4658033036150325,0.1552677678716775,0.310535535743355,0.29198795740543726,0.09732931913514575,0.1946586382702915,0.21588176592641545,0.07196058864213849,0.14392117728427697,0.19376444878654592,0.0645881495955153,0.1291762991910306
0.051818181818181826,0.17284480150544815,0.05761493383514938,0.11522986767029876,0.15903522287661734,0.05301174095887245,0.1060234819177449,0.2737165444174159,0.09123884813913863,0.18247769627827726,0.41212908467266807,0.13737636155755603,0.27475272311511206,0.5704089349784344,0.1901363116594781,0.3802726233189562,0.4812831282359187,0.1604277094119729,0.3208554188239458,0.3161605079423483,0.10538683598078276,0.21077367196156552,0.4664177538836982,0.1554725846278994,0.3109451692557988,0.29599224299490057,0.0986640809983002,0.1973281619966004,0.21840528438121928,0.07280176146040643,0.14560352292081286,0.19517603191237898,0.06505867730412633,0.13011735460825266
0.052727272727272734,0.17208012496004227,0.05736004165334742,0.11472008330669484,0.15828889404183455,0.05276296468061152,0.10552592936122304,0.27229947544439104,0.09076649181479701,0.18153298362959402,0.4095660551919037,0.13652201839730124,0.2730440367946025,0.5661724275781155,0.1887241425260385,0.377448285052077,0.4845838369530619,0.16152794565102063,0.32305589130204126,0.31289947392231887,0.10429982464077295,0.2085996492815459,0.46680175060870754,0.15560058353623585,0.3112011670724717,0.2999679626862316,0.09998932089541053,0.19997864179082106,0.22093676857559447,0.07364558952519816,0.14729117905039632,0.1965970124860641,0.0655323374953547,0.1310646749907094
0.05363636363636364,0.17132005639113462,0.05710668546371154,0.11421337092742308,0.15755090911990413,0.05251696970663471,0.10503393941326943,0.2708915069083796,0.09029716896945987,0.18059433793891974,0.407028077329774,0.13567602577659132,0.27135205155318265,0.5620017368190515,0.18733391227301716,0.3746678245460343,0.4876872159566635,0.16256240531888783,0.32512481063777565,0.30969935076608807,0.10323311692202936,0.2064662338440587,0.46698509708002023,0.1556616990266734,0.3113233980533468,0.30390873658268314,0.10130291219422771,0.20260582438845542,0.22347737083425454,0.07449245694475151,0.14898491388950302,0.1980277492086706,0.06600924973622353,0.13201849947244707
0.05454545454545455,0.17056440096606273,0.05685480032202091,0.11370960064404181,0.15682109306480457,0.05227369768826819,0.10454739537653639,0.2694972292262076,0.0898324097420692,0.1796648194841384,0.4045146821630574,0.1348382273876858,0.2696764547753716,0.5578928051454863,0.18596426838182878,0.37192853676365756,0.4905956859826853,0.16353189532756177,0.32706379065512353,0.3065556771920429,0.10218522573068096,0.20437045146136193,0.4669714009300897,0.15565713364336323,0.31131426728672645,0.30781144413810146,0.10260381471270048,0.20520762942540097,0.22602123685948597,0.07534041228649532,0.15068082457299065,0.19946768696417427,0.06648922898805809,0.13297845797611618
0.055454545454545465,0.1698126927058954,0.05660423090196514,0.11320846180393028,0.15609927512846752,0.05203309170948917,0.10406618341897834,0.2681070638749132,0.08936902129163772,0.17873804258327544,0.40203327208443573,0.1340110906948119,0.2680221813896238,0.5538593213549949,0.18461977378499833,0.36923954756999666,0.49333408571713294,0.16444469523904431,0.32888939047808863,0.30347295277512465,0.10115765092504156,0.20231530185008312,0.4667800926153992,0.15559336420513306,0.3111867284102661,0.31167840346543907,0.10389280115514635,0.2077856023102927,0.22857755260842869,0.0761925175361429,0.1523850350722858,0.20091795291809925,0.06697265097269975,0.1339453019453995
0.05636363636363637,0.1690660469456338,0.05635534898187793,0.11271069796375587,0.15538528891906866,0.05179509630635622,0.10359019261271243,0.26673175352970896,0.08891058450990298,0.17782116901980596,0.3995528650209751,0.13318428834032503,0.26636857668065006,0.5498385749511419,0.18327952498371394,0.3665590499674279,0.4958525689322581,0.16528418964408603,0.33056837928817207,0.3004449594560411,0.10014831981868037,0.20029663963736075,0.46636971101744795,0.1554565703391493,0.3109131406782986,0.31550113377501676,0.10516704459167225,0.2103340891833445,0.23113155790342882,0.07704385263447627,0.15408770526895255,0.2023773496714547,0.06745911655715157,0.13491823311430315
0.05727272727272728,0.16832365431110835,0.05610788477036945,0.1122157695407389,0.15467897147535095,0.05155965715845032,0.10311931431690063,0.26536167674222844,0.08845389224740947,0.17690778449481895,0.3971015747124884,0.13236719157082946,0.2647343831416589,0.5458988538493139,0.181966284616438,0.363932569232876,0.4982122149348378,0.1660707383116126,0.3321414766232252,0.2974718626632736,0.09915728755442453,0.19831457510884906,0.46578824763830706,0.15526274921276903,0.31052549842553806,0.3192840593605786,0.10642801978685952,0.21285603957371904,0.2336993022918773,0.07789976743062577,0.15579953486125153,0.2038517127546552,0.06795057091821839,0.13590114183643678
