Radius_au,Free,Confined,Plasma_mu_0.1,Plasma_mu_0.2,Plasma_mu_0.3,Plasma_mu_0.5,Hybrid_mu_0.1,Hybrid_mu_0.2,Hybrid_mu_0.3,Hybrid_mu_0.4,Hybrid_mu_0.5
1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010011665277546256,-0.004904444972896931,-0.004883701123670449,-0.004263266138678201,-0.0035221915284410427,-0.002605858429410153,-2.1153265080538065e-05,-0.0042166714240391675,-0.0033798893445075467,-0.0020899038559734915,-0.0008683538224790978,-0.00043175362048176574
0.020013330555092513,-0.018119957825411696,-0.018043319876674725,-0.01575234612880283,-0.013015250476172642,-0.009630047237529343,-7.818716763039518e-05,-0.015580186553066184,-0.01248941908242199,-0.007723327554627091,-0.0032093331339676204,-0.0015958592607722862
0.03001499583263877,-0.037434484938627846,-0.037276165585161954,-0.03254810659110196,-0.02689683587962824,-0.019904333258497813,-0.00016166053663803535,-0.0321923968235428,-0.02581019430861035,-0.01596337518979118,-0.006634515049878077,-0.0032996216318526275
0.04001666111018503,-0.06104401276649136,-0.06078586464349143,-0.05308736555841121,-0.04387976361535336,-0.0324796822707118,-0.00026392594207681075,-0.05250721890956335,-0.04210705922626604,-0.02604896121435887,-0.010828818729210477,-0.0053869594981863665
0.050018326387731286,-0.08748129360915621,-0.08711138653710933,-0.07610016683875861,-0.06291952840754353,-0.046586933740390385,-0.0003788019470606528,-0.075268592883695,-0.06037773637777774,-0.03736326635506288,-0.015537224993234313,-0.007731715081979067
0.06001999166527754,-0.11555820232794455,-0.11506964348360457,-0.10055916100624927,-0.08317204805366418,-0.06160520645821927,-0.0005013109882140724,-0.09946041516713912,-0.07981227591555902,-0.04940839513976779,-0.02055413114644247,-0.01023230327248411
0.07002165694282379,-0.1443182445594671,-0.14370819886188294,-0.1256379838150833,-0.10395898855016375,-0.07703602523855176,-0.0006274656116661176,-0.12426537089403764,-0.09975978004804835,-0.061784622693733235,-0.025714651635736583,-0.01280734800183718
0.08002332222037005,-0.17299717631774816,-0.17226605289328473,-0.15067681027437532,-0.12473912361741141,-0.09248199279432723,-0.0007540929750585932,-0.1490308637596707,-0.11970091850658751,-0.0741732875057258,-0.03088746155975799,-0.015392099803305956
0.0900249874979163,-0.20099025406695095,-0.20014103088256044,-0.17515376274837902,-0.145084607396983,-0.10762915484034355,-0.0008786903164743989,-0.173240736105885,-0.13922515901018662,-0.08632264673363639,-0.0359688912730667,-0.017935485538359275
0.10002665277546256,-0.22782495293201838,-0.22686261657285953,-0.19866113730758284,-0.16466128293914106,-0.12223239278730716,-0.0009993057054774068,-0.196491754746893,-0.15801187072092812,-0.098036160080111,-0.04087804449381778,-0.02039767423592437
0.11002831805300882,-0.25313821455778995,-0.25206929607175027,-0.2208856135539171,-0.18321232066457835,-0.13610330954879082,-0.0011144395289049208,-0.21847403684894007,-0.17581462333352654,-0.10916277348734317,-0.04555275751619621,-0.022748066209174998
0.12002998333055508,-0.27665745744740533,-0.2754896484057689,-0.24159176685521475,-0.20054461207704807,-0.14910017411119858,-0.0012229630306985857,-0.2389547422163576,-0.19244813025092591,-0.11958885422435833,-0.04994625159617305,-0.02496363030840383
0.13003164860810135,-0.29818471860281487,-0.2969265541815922,-0.2606083237565252,-0.21651744774945378,-0.16111956963449545,-0.0013240509076649842,-0.25776447884293463,-0.20777738386170252,-0.12923149240916224,-0.0540243577706188,-0.027027528104363974
0.1400333138856476,-0.3175834051277683,-0.31624400320788315,-0.2778166995609116,-0.2310330920976606,-0.17208945340648227,-0.001417125509353083,-0.27478596574337555,-0.2217086110609342,-0.1380329349923212,-0.05776321517196065,-0.028927974949378297
0.15003497916319386,-0.3347672239973192,-0.33335607109915527,-0.29314143699589273,-0.24402893526061262,-0.18196338848669533,-0.001501810631285018,-0.2899445761330557,-0.2341817422269625,-0.1459559595524943,-0.06114736153703348,-0.030657296867703923
0.16003664444074012,-0.34969093160999376,-0.34821770798648827,-0.30654223027853666,-0.25547095777646417,-0.1907157488600166,-0.0015778932487998754,-0.3032004487091111,-0.2451641400051432,-0.1529800289337437,-0.06416814895384522,-0.03221114953576393
0.17003830971828637,-0.3623426051548487,-0.3608170426219599,-0.3180072726063066,-0.2653482891340447,-0.1983377342674982,-0.0016452918304990698,-0.31454190791509695,-0.25464537780914775,-0.1590980953075089,-0.06682242960217825,-0.03358787156852677
0.18003997499583263,-0.3727371876865203,-0.3711689548148427,-0.3275477093440731,-0.27366867859224225,-0.20483405906210272,-0.0017040301086789149,-0.3239799778329308,-0.2626328937590429,-0.16431394484774794,-0.06911146583398521,-0.03478794919516891
0.1900416402733789,-0.3809111000435322,-0.37930971020629356,-0.33519301570274157,-0.28045472740410143,-0.2102202026108559,-0.001754215379410376,-0.3315438104730521,-0.26914837527978225,-0.16863999279716924,-0.07104002681027041,-0.035813573393636104
0.20004330555092514,-0.3869177469228715,-0.385292485423206,-0.340987147915974,-0.2857407569633261,-0.21452012785928704,-0.001796020565202149,-0.3372768791156594,-0.2742247539410457,-0.17209545401936494,-0.07261564038371938,-0.03666827382569132
0.2100449708284714,-0.39082377279414837,-0.3891836399028149,-0.3449853419521078,-0.289570208380001,-0.21776439043453766,-0.0018296694049705928,-0.34123381211380943,-0.27790371026195065,-0.1747048267741193,-0.07384797424855322,-0.03735661660440173
0.22004663610601766,-0.3927059469214493,-0.3910596141651636,-0.34725145456844775,-0.29199348637655365,-0.21998857369281857,-0.0018554242445802873,-0.3434777631129256,-0.28023360488716603,-0.17649663790466114,-0.07474832477892454,-0.037883955141785934
0.2300483013835639,-0.39264857639434175,-0.39100435386123433,-0.3478557587739496,-0.29306617481397934,-0.22123199590398487,-0.001873575990748299,-0.3440782307120204,-0.2812677663783326,-0.17750240627846176,-0.07532919561306876,-0.0382562251520019
0.24004996666111017,-0.3907413624342268,-0.38910717522037686,-0.34687312012617005,-0.29284756313385074,-0.22153664470889137,-0.0018844358650581155,-0.34310925479528614,-0.2810630773570757,-0.17775578849662527,-0.07560395104919262,-0.03847977639512419
0.2500516319386564,-0.38707762889881897,-0.38546100111972126,-0.3443814922507748,-0.2913994329601221,-0.22094630140864105,-0.0018883286559969643,-0.34064792859472576,-0.279678810292627,-0.1772918768415083,-0.07558653181213751,-0.03856123499522113
