Energy_au,Sigma_Total_au,Sigma_Mb,Dipole_Sq_au
0.8726998499249625,0.00013786596412307655,0.003860633020145688,0.0017249518543509493
0.8733496748374188,0.00013715208883506097,0.0038406425132304456,0.0017153503446518527
0.873999499749875,0.00013643984426495593,0.0038206976709827083,0.001705776712927017
0.8746493246623311,0.0001357292217651385,0.0038007982512448203,0.0016962308184946407
0.8752991495747874,0.00013502021157952318,0.003780943980819072,0.0016867125070450179
0.8759489744872436,0.0001343128040077586,0.0037611345880684626,0.0016772216252049054
0.8765987993996999,0.00013360699054307257,0.0037413698347795524,0.0016677580347389295
0.877248624312156,0.00013290276490567402,0.0037216495451006084,0.001658321625414603
0.8778984492246122,0.00013220012391779244,0.0037019736300451583,0.0016489123258620695
0.8785482741370685,0.00013149906816797274,0.003682342106094107,0.001639530111780943
0.8791980990495247,0.00013079960243727722,0.0036627551071305867,0.0016301750111606067
0.879847923961981,0.00013010173585429387,0.0036432128887806206,0.0016208471061097244
0.8804977488744372,0.0001294054817908936,0.0036237158254940356,0.0016115465314529161
0.8811475737868935,0.0001287108574996411,0.00360426440039095,0.0016022734701146412
0.8817973986993497,0.00012801788352332597,0.0035848591887269925,0.0015930281456781506
0.8824472236118059,0.00012732658292436897,0.0035655008363145195,0.0015838108127211976
0.8830970485242622,0.00012663698037230982,0.0035461900339697175,0.0015746217454096123
0.8837468734367184,0.0001259491011567346,0.003526927489871808,0.001565461225190682
0.8843966983491746,0.00012526297018369023,0.0035077139014598408,0.0015563295283099895
0.8850465232616308,0.00012457861101105962,0.0034885499284205003,0.0015472269138411608
0.885696348174087,0.0001238960449861667,0.003469436168538629,0.001538153613012594
0.8863461730865433,0.0001232152905285512,0.0034503731376129138,0.0015291098203605612
0.8869959979989994,0.000122536362597129,0.003431361254534884,0.001520095687190202
0.8876458229114557,0.00012185927237025989,0.0034124008323299137,0.001511111317691846
0.8882956478239119,0.00012118402714742421,0.0033934920754038907,0.0015021567678133426
0.8889454727363681,0.00012051063047627923,0.003374635083101152,0.0014932320469276538
0.8895952976488244,0.00011983908248524548,0.0033558298590178324,0.001484337122042294
0.8902451225612806,0.00011916938040084117,0.003337076325488675,0.001475471924286434
0.8908949474737369,0.00011850151920930475,0.0033183743421143193,0.0014666363571687593
0.8915447723861931,0.00011783549242003693,0.0032997237271398102,0.0014578303060758873
0.8921945972986494,0.0001171712928852154,0.0032811242804061096,0.00144905364844348
0.8928444222111056,0.00011650891361897071,0.003262575806289313,0.0014403062638983918
0.8934942471235618,0.00011584834857424888,0.0032440781354549767,0.0014315880438544716
0.894144072036018,0.00011518959333068666,0.0032256311441205524,0.001422898899986945
0.8947938969484742,0.00011453264565422624,0.0032072347697261667,0.001414238771103454
0.8954437218609305,0.00011387750590285426,0.003188889022296447,0.0014056076280999114
0.8960935467733867,0.00011322417726063778,0.0031705939909941875,0.001397005476786365
0.8967433716858428,0.00011257266578873094,0.003152349845548675,0.0013884323584489162
0.8973931965982991,0.00011192298030424585,0.003134156832863736,0.001379888348288098
0.8980430215107553,0.00011127513209446707,0.0031160152690149425,0.0013713735518315995
0.8986928464232116,0.00011062913449288868,0.0030979255273774634,0.0013628880996529975
0.8993426713356678,0.00010998500235123223,0.003079888023841086,0.0013544321408217
0.899992496248124,0.00010934275143707222,0.003061903199942046,0.0013460058354522156
0.9006423211605803,0.00010870239779736635,0.0030439715050400904,0.001337609346851034
0.9012921460730365,0.00010806395713448007,0.0030260933788454187,0.0013292428338352806
0.9019419709854928,0.00010742744421964796,0.003008269234993958,0.0013209064435293644
0.902591795897949,0.00010679287238555751,0.00299049944683829,0.001312600305150703
0.9032416208104053,0.00010616025312391987,0.0029727843361785035,0.0013043245250996508
0.9038914457228615,0.000105529595799344,0.00295512416524987,0.0012960791834891123
0.9045412706353176,0.0001049009075041672,0.0029375191326576934,0.0012878643324126522
0.9051910955477739,0.00010427419304385918,0.0029199693729685798,0.0012796799958190131
0.9058409204602301,0.00010364945505360527,0.0029024749599750976,0.0012715261709961721
0.9064907453726863,0.00010302669423231106,0.00288503591324856,0.0012634028314919125
0.9071405702851425,0.0001024059096713822,0.0028676522073457817,0.001255309931189464
0.9077903951975987,0.00010178709925594566,0.002850323783044395,0.0012472474092614573
0.908440220110055,0.00010117026010962092,0.0028330505597976927,0.0012392151956459492
0.9090900450225112,0.00010055538905220712,0.0028158324485511458,0.0012312132166680456
0.9097398699349675,9.994248304501385e-05,0.002798669364212914,0.0012232414004974025
0.9103896948474237,9.933153959363293e-05,0.0027815612369325843,0.0012152996820725334
0.91103951975988,9.872255708910015e-05,0.0027645080216546535,0.0012073880072603386
0.9116893446723362,9.811553506810277e-05,0.0027475097054050685,0.0011995063360164162
0.9123391695847924,9.751047438368203e-05,0.002730566312071371,0.0011916546444443211
0.9129889944972487,9.690737727576515e-05,0.0027136779043777965,0.0011838329256264179
0.9136388194097049,9.630624735111696e-05,0.0026968445833238583,0.0011760411893467155
0.9142886443221611,9.57070894736619e-05,0.0026800664851130596,0.0011682794607202408
0.9149384692346173,9.510990958056319e-05,0.002663343776002595,0.0011605477779196214
0.9155882941470735,9.451471443777109e-05,0.0026466766454580166,0.001152846189168531
0.9162381190595298,9.392151136047456e-05,0.0026300652983250973,0.0011451747493140664
0.9168879439719859,9.333030791128152e-05,0.002613509946378034,0.0011375335161354996
0.9175377688844422,9.274111160172248e-05,0.0025970107999607143,0.0011299225467019376
0.9181875937968984,9.215392961746788e-05,0.0025805680602920297,0.0011223418940270956
0.9188374187093546,9.156876857758573e-05,0.0025641819127244178,0.001114791604146114
0.9194872436218109,9.098563434961905e-05,0.0025478525215655123,0.001107271713878348
0.9201370685342671,9.040453192029259e-05,0.002531580026457569,0.0010997822492719892
0.9207868934467234,8.982546533495193e-05,0.002515364540681592,0.0010923232248880475
0.9214367183591796,8.924843769682561e-05,0.002499206151136668,0.0010848946438131663
0.9220865432716359,8.867345123034443e-05,0.002483104920113089,0.0010774964984507853
0.9227363681840921,8.810050738998684e-05,0.0024670608883403233,0.0010701287718634942
0.9233861930965483,8.752960701336242e-05,0.002451074079273785,0.001062791439649479
0.9240360180090045,8.696075049581276e-05,0.002435144503984146,0.0010554844720758703
0.9246858429214607,8.639393797869444e-05,0.002419272166429785,0.0010482078363732497
0.925335667833917,8.582916953238785e-05,0.0024034570685815505,0.0010409614989609814
