Mu,Energy_au,A,U
0.0,-0.5082409496331375,-0.25555201470639427,0.04444798529360574
0.05,-0.4601937600032393,-0.25555201470639427,0.04444798529360574
0.1,-0.41582739070439767,-0.25555201470639427,0.04444798529360574
0.15,-0.37489477253189163,-0.25555201470639427,0.04444798529360574
0.2,-0.33725108036272966,-0.25555201470639427,0.04444798529360574
0.25,-0.30286105894622906,-0.25555201470639427,0.04444798529360574
0.3,-0.2718452169240956,-0.25555201470639427,0.04444798529360574
0.4,-0.2218082377520112,-0.25555201470639427,0.04444798529360574
0.5,-0.19262332433111612,-0.25555201470639427,0.04444798529360574
