Mu,Energy_au,A,U
0.0,-0.5023650723407078,-0.08518400490213142,0.01481599509786858
0.05,-0.4542088237782512,-0.08518400490213142,0.01481599509786858
0.1,-0.4095274075563303,-0.08518400490213142,0.01481599509786858
0.15,-0.3680546138549383,-0.08518400490213142,0.01481599509786858
0.2,-0.32957719352471654,-0.08518400490213142,0.01481599509786858
0.25,-0.2939209289915908,-0.08518400490213142,0.01481599509786858
0.3,-0.26094240015951237,-0.08518400490213142,0.01481599509786858
0.4,-0.2025727725677734,-0.08518400490213142,0.01481599509786858
0.5,-0.15381395957402033,-0.08518400490213142,0.01481599509786858
