Mu,Energy_au,A,U
0.0,-0.5857383372880882,-0.25555201470639427,0.04444798529360574
0.05,-0.46444816511494624,-0.25555201470639427,0.04444798529360574
0.1,-0.35939873929823885,-0.25555201470639427,0.04444798529360574
0.15,-0.27405928485950654,-0.25555201470639427,0.04444798529360574
0.2,-0.2175046467107773,-0.25555201470639427,0.04444798529360574
0.25,-0.18930234422424114,-0.25555201470639427,0.04444798529360574
0.3,-0.17428704306309686,-0.25555201470639427,0.04444798529360574
0.4,-0.15846788311554155,-0.25555201470639427,0.04444798529360574
0.5,-0.15068469953231584,-0.25555201470639427,0.04444798529360574
