Mu,Energy_au,A,U
0.0,-0.8999132596104129,-0.8773952504919537,0.15260474950804637
0.05,-0.8547532364723153,-0.8773952504919537,0.15260474950804637
0.1,-0.8222163752434695,-0.8773952504919537,0.15260474950804637
0.15,-0.7987519780781456,-0.8773952504919537,0.15260474950804637
0.2,-0.7818125798113589,-0.8773952504919537,0.15260474950804637
0.25,-0.7695674341737246,-0.8773952504919537,0.15260474950804637
0.3,-0.7607010293811678,-0.8773952504919537,0.15260474950804637
0.4,-0.7495916336783867,-0.8773952504919537,0.15260474950804637
0.5,-0.7436924204274998,-0.8773952504919537,0.15260474950804637
