Energy_au,Total_Mu_0.000,Total_Mu_0.050,Total_Mu_0.100,Total_Mu_0.150,Total_Mu_0.200,Total_Mu_0.250,Total_Mu_0.300,Total_Mu_0.400,Total_Mu_0.500
0.5377707006369427,0.02452638162920254,0.02735518128393584,0.028627706778982354,0.027313457589518718,0.022034775191041998,0.014519034421529213,0.009059449689623885,0.004805975219368013,0.0036614810516049263
0.5387625113739763,0.024457309671057234,0.027276468908980396,0.02853887755530309,0.027215924507281716,0.02193779587063648,0.01443663891143249,0.008994547513065243,0.0047604805553705005,0.0036233869908093254
0.53975432211101,0.024388414073256037,0.027198445946893635,0.028450670124755162,0.027118620141772517,0.021841493601288786,0.01435481247398327,0.008930110075997175,0.00471535191416542,0.003585608951166306
0.5407461328480437,0.024319693693710967,0.027120525295956356,0.02836251678618539,0.02702232568228622,0.021745452062029567,0.014273603527725083,0.008866162570088121,0.004670527910981003,0.003548077703400117
0.5417379435850773,0.024251147412379735,0.027043066104922915,0.028275210897508705,0.026926217804507054,0.021650558008495767,0.014193078166435889,0.008802741127184266,0.0046262331499698755,0.0035108553628194405
0.542729754322111,0.024182774131255635,0.026965979501904328,0.028187701607127698,0.02683038047579639,0.021555403997506026,0.014112579363998531,0.00873968170787587,0.0045819836912987496,0.003473908076352187
0.5437215650591447,0.02411457277454017,0.026888485320031304,0.02810080797052625,0.02673510227748282,0.02146157484200843,0.014032884445487382,0.008677079682809504,0.004538228275551361,0.00343722613725673
0.5447133757961784,0.024046542288652085,0.02681155047719823,0.02801413914582001,0.026640394882739622,0.021367619741867516,0.013953693649085643,0.008614995822533202,0.004494807803150995,0.0034008398236085704
0.545705186533212,0.02397868164217725,0.026735168583701528,0.027927919530847514,0.02654627931085398,0.02127438584902147,0.013875112600034507,0.008553315607593039,0.004451775500479894,0.003364753654682002
0.5466969972702457,0.023910989825836136,0.026659678098355153,0.02784199552486058,0.026452611281828277,0.021181782962324414,0.013796924308856769,0.00849208398145957,0.004409014374200504,0.003328979825401872
0.5476888080072794,0.0238434658522291,0.02658533201118575,0.02775690613225096,0.02636221886572876,0.021089750681805845,0.01371932285090714,0.008431305737544179,0.00436663665284368,0.0032937381537218695
0.5486806187443131,0.023776108755576272,0.026507583136460226,0.02767144214459207,0.026271240284399672,0.020998257597609305,0.01364218753909495,0.00837106318912896,0.004324615145412313,0.003258264311430114
0.5496724294813466,0.023708917591435487,0.02643111296894509,0.027586660401306876,0.026174431217695776,0.020907300498259562,0.013565579635437034,0.008310998960520049,0.00428286998688572,0.003223163076969319
0.5506642402183803,0.0236418914363129,0.02635590710665523,0.02750219637571273,0.026082349320799714,0.02081690359607126,0.013489652758203588,0.008251522177024476,0.004241478723915452,0.003188474245494198
0.551656050955414,0.02357502938732254,0.026280410638024637,0.02741802715908403,0.025990953517771836,0.02072711776938978,0.013413974475110816,0.008192514400167232,0.004200443397753916,0.0031540403051810596
0.5526478616924477,0.023508330561879384,0.026205485770077454,0.02733423590732543,0.025899973833683206,0.02063765109249911,0.013338825282643234,0.00813403268193439,0.004159794894604041,0.0031198768097351823
0.5536396724294813,0.023441794097444624,0.026130777823590846,0.02725080099265593,0.025809504163665023,0.020549258417561483,0.013264263378740534,0.00807572672155948,0.004119339049391992,0.003086003607035046
0.554631483166515,0.023375419151290135,0.026056352198506695,0.027167706620542808,0.025719792251002113,0.020461159489819712,0.013190168720060236,0.00801794184123496,0.004079268872666763,0.0030523946276298577
0.5556232939035487,0.023309204900374303,0.025982072426639247,0.027085091523364635,0.02562974931028671,0.020372505373267985,0.013116533423200644,0.007960676442953582,0.004039550074838584,0.0030190860846395916
