Mu,Energy_au,A,U
0.0,-0.5172458717148063,-0.39184642254980456,0.06815357745019547
0.05,-0.46973088056101897,-0.39184642254980456,0.06815357745019547
0.1,-0.42707816715542146,-0.39184642254980456,0.06815357745019547
0.15,-0.3897749670064543,-0.39184642254980456,0.06815357745019547
0.2,-0.35929404812400734,-0.39184642254980456,0.06815357745019547
0.25,-0.33717006462289534,-0.39184642254980456,0.06815357745019547
0.3,-0.3225550690433656,-0.39184642254980456,0.06815357745019547
0.4,-0.30638663305813313,-0.39184642254980456,0.06815357745019547
0.5,-0.2984538246120666,-0.39184642254980456,0.06815357745019547
